,facet,anchor,stem_text,cosine_similarity,drift_flag,length_flag
89,Curiosity,I enjoy exploring new ideas.,I am interested in discovering new ideas.,0.79428935,0,0
90,Curiosity,I enjoy exploring new ideas.,I enjoy learning about unfamiliar subjects.,0.678897,1,0
91,Curiosity,I enjoy exploring new ideas.,I like finding out about new ideas.,0.86245185,0,0
92,Curiosity,I enjoy exploring new ideas.,I am curious about exploring new concepts.,0.6932707,1,0
93,Curiosity,I enjoy exploring new ideas.,I delight in discovering fresh ideas.,0.8272877,0,0
94,Curiosity,I enjoy exploring new ideas.,I take interest in learning new things.,0.73174787,1,0
95,Curiosity,I enjoy exploring new ideas.,I like to explore different ideas.,0.85188806,0,0
96,Curiosity,I enjoy exploring new ideas.,I am enthusiastic about new ideas.,0.81845796,0,0
97,Curiosity,I enjoy exploring new ideas.,I find it exciting to learn new things.,0.7359365,1,0
98,Curiosity,I enjoy exploring new ideas.,I enjoy broadening my knowledge with new ideas.,0.8262782,0,0
99,Curiosity,I enjoy exploring new ideas.,I am eager to explore new concepts.,0.7259824,1,0
100,Curiosity,I enjoy exploring new ideas.,I find it fulfilling to discover new ideas.,0.80897564,0,0
101,Curiosity,I enjoy exploring new ideas.,I appreciate learning about different ideas.,0.6724303,1,0
102,Curiosity,I enjoy exploring new ideas.,I love the challenge of new ideas.,0.7490039,1,0
103,Curiosity,I enjoy exploring new ideas.,I am passionate about exploring new ideas.,0.8457912,0,0
104,Curiosity,I enjoy exploring new ideas.,I relish the opportunity to learn new things.,0.68266034,1,0
105,Curiosity,I enjoy exploring new ideas.,I am open to discovering new ideas.,0.815454,0,0
106,Curiosity,I enjoy exploring new ideas.,I enjoy engaging with fresh concepts.,0.8114479,0,0
107,Curiosity,I enjoy exploring new ideas.,I am thrilled by exploring new ideas.,0.8371949,0,0
108,Curiosity,I enjoy exploring new ideas.,I like to uncover new thoughts.,0.68924487,1,0
109,Curiosity,I enjoy exploring new ideas.,I take joy in learning about new ideas.,0.7721628,0,0
110,Curiosity,I enjoy exploring new ideas.,I am fascinated by new concepts.,0.76595336,0,0
111,Reflective Learning,I think about what I’ve learned.,I reflect on my learning experiences.,0.5360019,1,0
112,Reflective Learning,I think about what I’ve learned.,I consider what I have studied.,0.5104303,1,0
113,Reflective Learning,I think about what I’ve learned.,I review the things I’ve learned.,0.6635424,1,0
114,Reflective Learning,I think about what I’ve learned.,I go over the lessons in my mind.,0.67547655,1,0
115,Reflective Learning,I think about what I’ve learned.,I think about the knowledge I gained.,0.6741121,1,0
116,Reflective Learning,I think about what I’ve learned.,I ponder the new information I received.,0.43318614,1,0
117,Reflective Learning,I think about what I’ve learned.,I recall the topics I’ve covered.,0.43150103,1,0
118,Reflective Learning,I think about what I’ve learned.,I focus on what I have understood.,0.5997137,1,0
119,Reflective Learning,I think about what I’ve learned.,I remember what I have been taught.,0.6597842,1,0
120,Reflective Learning,I think about what I’ve learned.,I look back on my learning.,0.5772557,1,0
121,Reflective Learning,I think about what I’ve learned.,I analyze the material I’ve studied.,0.3663384,1,0
122,Reflective Learning,I think about what I’ve learned.,I contemplate the lessons I’ve had.,0.57234883,1,0
123,Reflective Learning,I think about what I’ve learned.,I think about the subjects I’ve learned.,0.72687364,1,0
124,Reflective Learning,I think about what I’ve learned.,I evaluate the things I’ve been taught.,0.58380127,1,0
125,Reflective Learning,I think about what I’ve learned.,I consider the knowledge I have acquired.,0.6608325,1,0
126,Reflective Learning,I think about what I’ve learned.,I reflect on what I have learned recently.,0.7009443,1,0
127,Reflective Learning,I think about what I’ve learned.,I pay attention to what I have studied.,0.5208427,1,0
128,Reflective Learning,I think about what I’ve learned.,I think over the things I’ve learned.,0.91540587,0,0
129,Reflective Learning,I think about what I’ve learned.,I dwell on the lessons I’ve received.,0.63563764,1,0
130,Reflective Learning,I think about what I’ve learned.,I think about the information I have absorbed.,0.47854444,1,0
131,Reflective Learning,I think about what I’ve learned.,I assess what I have learned.,0.63791156,1,0
132,Reflective Learning,I think about what I’ve learned.,I review the things I’ve been taught.,0.59020424,1,0
133,Reflective Learning,I think about what I’ve learned.,I think about the skills I have acquired.,0.6342874,1,0
134,Reflective Learning,I think about what I’ve learned.,I think over my recent learning experiences.,0.7018163,1,0
135,Reflective Learning,I think about what I’ve learned.,I consider the topics I’ve covered.,0.40529805,1,0
136,Reflective Learning,I think about what I’ve learned.,I think back to my recent lessons.,0.5453088,1,0
137,Reflective Learning,I think about what I’ve learned.,I evaluate the information I have learned.,0.60001385,1,0
138,Reflective Learning,I think about what I’ve learned.,I focus on the lessons I have received.,0.5617576,1,0
139,Sense-Making,I turn data into clear stories.,I transform data into understandable stories.,0.8136835,0,0
140,Sense-Making,I turn data into clear stories.,I make data easy to understand by telling stories.,0.8263078,0,0
141,Sense-Making,I turn data into clear stories.,I convert data into simple stories.,0.83781374,0,0
142,Sense-Making,I turn data into clear stories.,I change data into stories that are easy to follow.,0.7943463,0,0
143,Sense-Making,I turn data into clear stories.,I create stories from data that are clear.,0.89658844,0,0
144,Sense-Making,I turn data into clear stories.,I develop stories from data that are easy to grasp.,0.74489987,1,0
145,Sense-Making,I turn data into clear stories.,I turn information into stories that make sense.,0.7641472,0,0
146,Sense-Making,I turn data into clear stories.,I shape data into stories that are easy to understand.,0.75813675,0,0
147,Sense-Making,I turn data into clear stories.,I craft data into stories that are clear.,0.8621397,0,0
148,Sense-Making,I turn data into clear stories.,I present data as stories that are easy to follow.,0.7777756,0,0
149,Sense-Making,I turn data into clear stories.,I tell stories with data that everyone can understand.,0.7765526,0,0
150,Sense-Making,I turn data into clear stories.,I use data to create stories that are simple.,0.80527306,0,0
151,Sense-Making,I turn data into clear stories.,I make stories from data that are clear.,0.9106318,0,0
152,Sense-Making,I turn data into clear stories.,I build stories from data that are easy to understand.,0.7705595,0,0
153,Sense-Making,I turn data into clear stories.,I translate data into stories that are clear.,0.86235934,0,0
154,Sense-Making,I turn data into clear stories.,I organize data into stories that make sense.,0.8092151,0,0
155,Sense-Making,I turn data into clear stories.,I convert information into stories that are easy to follow.,0.7419577,1,0
156,Sense-Making,I turn data into clear stories.,I design stories from data that are clear.,0.84916735,0,0
157,Sense-Making,I turn data into clear stories.,I turn complex data into simple stories.,0.82035047,0,0
158,Sense-Making,I turn data into clear stories.,I express data as stories that are easy to understand.,0.80101097,0,0
159,Sense-Making,I turn data into clear stories.,I create clear stories using data.,0.87184066,0,0
160,Sense-Making,I turn data into clear stories.,I make stories with data that are easy to grasp.,0.80060935,0,0
161,Sense-Making,I turn data into clear stories.,I write stories from data that are clear.,0.8868119,0,0
162,Sense-Making,I turn data into clear stories.,I produce stories using data that are easy to understand.,0.7486763,1,0
163,Sense-Making,I turn data into clear stories.,I explain data through stories that make sense.,0.7924373,0,0
164,Sense-Making,I turn data into clear stories.,I shape information into stories that are easy to grasp.,0.6535414,1,0
165,Sense-Making,I turn data into clear stories.,I compose stories from data that are clear.,0.8841803,0,0
166,Sense-Making,I turn data into clear stories.,I interpret data into stories that everyone can follow.,0.76525664,0,0
167,Ideation,I generate many ideas quickly.,I come up with ideas fast.,0.73135173,1,0
168,Ideation,I generate many ideas quickly.,I think of many ideas in little time.,0.53619754,1,0
169,Ideation,I generate many ideas quickly.,I quickly create a lot of ideas.,0.9250202,0,0
170,Ideation,I generate many ideas quickly.,I easily generate lots of ideas.,0.9222251,0,0
171,Ideation,I generate many ideas quickly.,I produce numerous ideas quickly.,0.9095706,0,0
172,Ideation,I generate many ideas quickly.,I rapidly form many ideas.,0.8267925,0,0
173,Ideation,I generate many ideas quickly.,I am quick at thinking of ideas.,0.66896504,1,0
174,Ideation,I generate many ideas quickly.,I quickly think of multiple ideas.,0.68020767,1,0
175,Ideation,I generate many ideas quickly.,I have a fast imagination for ideas.,0.6887826,1,0
176,Ideation,I generate many ideas quickly.,I can generate ideas speedily.,0.8946575,0,0
177,Ideation,I generate many ideas quickly.,I develop ideas swiftly and often.,0.7621367,0,0
178,Ideation,I generate many ideas quickly.,I am fast at creating ideas.,0.84073955,0,0
179,Ideation,I generate many ideas quickly.,I can come up with ideas quickly.,0.72688806,1,0
180,Ideation,I generate many ideas quickly.,I find it easy to think of ideas fast.,0.7486739,1,0
181,Ideation,I generate many ideas quickly.,I have no trouble generating ideas quickly.,0.7983905,0,0
182,Ideation,I generate many ideas quickly.,I am good at thinking of ideas quickly.,0.7848899,0,0
183,Ideation,I generate many ideas quickly.,I think of new ideas quickly.,0.7220881,1,0
184,Ideation,I generate many ideas quickly.,I quickly imagine many different ideas.,0.5966487,1,0
185,Ideation,I generate many ideas quickly.,I can easily think of many ideas.,0.6163287,1,0
186,Ideation,I generate many ideas quickly.,I am able to create ideas quickly.,0.8373823,0,0
187,Ideation,I generate many ideas quickly.,I quickly develop a lot of ideas.,0.8624823,0,0
188,Ideation,I generate many ideas quickly.,I have many ideas in a short time.,0.7470816,1,0
189,Ideation,I generate many ideas quickly.,I quickly come up with new ideas.,0.7762605,0,0
190,Ideation,I generate many ideas quickly.,I generate several ideas in little time.,0.8828,0,0
191,Ideation,I generate many ideas quickly.,I am fast at producing new ideas.,0.8136467,0,0
192,Ideation,I generate many ideas quickly.,I quickly have a lot of ideas.,0.8266015,0,0
193,Ideation,I generate many ideas quickly.,I quickly bring forth many ideas.,0.7813897,0,0
194,Innovation,I turn ideas into real projects.,I make ideas become real projects.,0.952365,0,0
195,Innovation,I turn ideas into real projects.,I transform ideas into actual projects.,0.9272228,0,0
196,Innovation,I turn ideas into real projects.,I convert ideas into real projects.,0.9429114,0,0
197,Innovation,I turn ideas into real projects.,I develop ideas into concrete projects.,0.74539906,1,0
198,Innovation,I turn ideas into real projects.,I create real projects from ideas.,0.9098668,0,0
199,Innovation,I turn ideas into real projects.,I bring ideas to life as projects.,0.8320162,0,0
200,Innovation,I turn ideas into real projects.,I build real projects from ideas.,0.89331424,0,0
201,Innovation,I turn ideas into real projects.,I put ideas into real projects.,0.93366903,0,0
202,Innovation,I turn ideas into real projects.,I turn concepts into real projects.,0.9058553,0,0
203,Innovation,I turn ideas into real projects.,I produce real projects from ideas.,0.8709823,0,0
204,Innovation,I turn ideas into real projects.,I realize ideas into projects.,0.8351673,0,0
205,Innovation,I turn ideas into real projects.,I shape ideas into real projects.,0.91759884,0,0
206,Innovation,I turn ideas into real projects.,I craft ideas into actual projects.,0.8622498,0,0
207,Innovation,I turn ideas into real projects.,I work on ideas to make them real projects.,0.875326,0,0
208,Innovation,I turn ideas into real projects.,I execute ideas into real projects.,0.8905704,0,0
209,Innovation,I turn ideas into real projects.,I implement ideas into actual projects.,0.87315136,0,0
210,Innovation,I turn ideas into real projects.,I carry ideas into real projects.,0.9094478,0,0
211,Innovation,I turn ideas into real projects.,I change ideas into real projects.,0.9351537,0,0
212,Innovation,I turn ideas into real projects.,I actualize ideas as real projects.,0.93656373,0,0
213,Innovation,I turn ideas into real projects.,I evolve ideas into real projects.,0.8697864,0,0
214,Innovation,I turn ideas into real projects.,I establish real projects from ideas.,0.87645924,0,0
215,Innovation,I turn ideas into real projects.,I develop real projects from concepts.,0.8046913,0,0
216,Innovation,I turn ideas into real projects.,I translate ideas into real projects.,0.86334306,0,0
217,Innovation,I turn ideas into real projects.,I make projects from ideas.,0.8390173,0,0
218,Innovation,I turn ideas into real projects.,I create projects from ideas.,0.85638535,0,0
219,Innovation,I turn ideas into real projects.,I achieve real projects from ideas.,0.88871455,0,0
220,Innovation,I turn ideas into real projects.,I turn thoughts into real projects.,0.8677386,0,0
221,Innovation,I turn ideas into real projects.,I bring projects to life from ideas.,0.8170304,0,0
222,Aesthetic Sensitivity,I notice small design details.,I pay attention to small design details.,0.883795,0,0
223,Aesthetic Sensitivity,I notice small design details.,I often see little design details.,0.9107692,0,0
224,Aesthetic Sensitivity,I notice small design details.,I focus on the small details in designs.,0.7433677,1,0
225,Aesthetic Sensitivity,I notice small design details.,I observe the small details in a design.,0.8706811,0,0
226,Aesthetic Sensitivity,I notice small design details.,I am aware of small details in designs.,0.8703662,0,0
227,Aesthetic Sensitivity,I notice small design details.,I catch the small design details.,0.89334667,0,0
228,Aesthetic Sensitivity,I notice small design details.,I spot small details in a design.,0.90211356,0,0
229,Aesthetic Sensitivity,I notice small design details.,I see small details in designs.,0.9076978,0,0
230,Aesthetic Sensitivity,I notice small design details.,I look closely at small design details.,0.8878776,0,0
231,Aesthetic Sensitivity,I notice small design details.,I notice the minor details in a design.,0.8375059,0,0
232,Aesthetic Sensitivity,I notice small design details.,I find small details in designs.,0.87074745,0,0
233,Aesthetic Sensitivity,I notice small design details.,I often catch tiny design details.,0.8322165,0,0
234,Aesthetic Sensitivity,I notice small design details.,I am attentive to small details in designs.,0.82385087,0,0
235,Aesthetic Sensitivity,I notice small design details.,I can see small design details.,0.9250924,0,0
236,Aesthetic Sensitivity,I notice small design details.,I recognize little details in designs.,0.8544454,0,0
237,Aesthetic Sensitivity,I notice small design details.,I observe minor details in designs.,0.8063475,0,0
238,Aesthetic Sensitivity,I notice small design details.,I pay attention to the small aspects of designs.,0.7578418,0,0
239,Aesthetic Sensitivity,I notice small design details.,I see the fine details in a design.,0.7397922,1,0
240,Aesthetic Sensitivity,I notice small design details.,I focus on minor details in designs.,0.702047,1,0
241,Aesthetic Sensitivity,I notice small design details.,I notice the little aspects of a design.,0.83201647,0,0
242,Aesthetic Sensitivity,I notice small design details.,I am aware of the small parts in designs.,0.7780261,0,0
243,Aesthetic Sensitivity,I notice small design details.,I catch the fine details in designs.,0.70597905,1,0
244,Aesthetic Sensitivity,I notice small design details.,I spot the tiny details in a design.,0.88452923,0,0
245,Aesthetic Sensitivity,I notice small design details.,I observe the fine points of a design.,0.60590965,1,0
246,Aesthetic Sensitivity,I notice small design details.,I see the minor details in designs.,0.8226323,0,0
247,Aesthetic Sensitivity,I notice small design details.,I pay attention to the fine aspects of a design.,0.56367487,1,0
248,Aesthetic Sensitivity,I notice small design details.,I focus on the tiny design details.,0.8278922,0,0
249,Aesthetic Sensitivity,I notice small design details.,I am aware of the little design details.,0.80862045,0,0
250,Improvisation,I adapt when plans change.,I adjust when things don't go as planned.,0.69030833,1,0
251,Improvisation,I adapt when plans change.,I am flexible when plans shift.,0.7220347,1,0
252,Improvisation,I adapt when plans change.,I go with the flow when schedules change.,0.5266491,1,0
253,Improvisation,I adapt when plans change.,I handle changes to plans easily.,0.78676033,0,0
254,Improvisation,I adapt when plans change.,I manage well when plans are different.,0.7170002,1,0
255,Improvisation,I adapt when plans change.,I cope with changes in plans.,0.7672548,0,0
256,Improvisation,I adapt when plans change.,I modify my actions when plans alter.,0.70654106,1,0
257,Improvisation,I adapt when plans change.,I am okay with changes in plans.,0.675515,1,0
258,Improvisation,I adapt when plans change.,I can handle it when plans are revised.,0.7142068,1,0
259,Improvisation,I adapt when plans change.,I respond well to adjustments in plans.,0.69579494,1,0
260,Improvisation,I adapt when plans change.,I deal with changes to plans smoothly.,0.77316165,0,0
261,Improvisation,I adapt when plans change.,I alter my approach when plans differ.,0.78507257,0,0
262,Improvisation,I adapt when plans change.,I embrace changes when plans are updated.,0.7927697,0,0
263,Improvisation,I adapt when plans change.,I am comfortable with changes in plans.,0.72939646,1,0
264,Improvisation,I adapt when plans change.,I work well with new plans.,0.68918765,1,0
265,Improvisation,I adapt when plans change.,I am adaptable when plans change.,0.94365627,0,0
266,Improvisation,I adapt when plans change.,I can adjust when plans are altered.,0.7959684,0,0
267,Improvisation,I adapt when plans change.,I make changes when plans don't stay the same.,0.80720747,0,0
268,Improvisation,I adapt when plans change.,I am open to changes in plans.,0.68602145,1,0
269,Improvisation,I adapt when plans change.,I rearrange my schedule when plans shift.,0.6785668,1,0
270,Improvisation,I adapt when plans change.,I can manage when plans are modified.,0.6976042,1,0
271,Improvisation,I adapt when plans change.,I am able to adapt to new situations.,0.60287976,1,0
272,Improvisation,I adapt when plans change.,I change my plans when necessary.,0.7762841,0,0
273,Improvisation,I adapt when plans change.,I find it easy to adapt to changes.,0.58670205,1,0
274,Improvisation,I adapt when plans change.,I am quick to adjust when plans change.,0.7853775,0,0
275,Improvisation,I adapt when plans change.,I can switch my plans easily.,0.70076346,1,0
276,Improvisation,I adapt when plans change.,I stay calm when plans change.,0.6375756,1,0
277,Improvisation,I adapt when plans change.,I am ready to change plans if needed.,0.6810585,1,0
278,Experimentation,I test ideas to see what works.,I try out ideas to find the best solution.,0.5573905,1,0
279,Experimentation,I test ideas to see what works.,I experiment with ideas to discover what is effective.,0.7369791,1,0
280,Experimentation,I test ideas to see what works.,I check my ideas to know which ones are successful.,0.5845021,1,0
281,Experimentation,I test ideas to see what works.,I explore different ideas to determine their effectiveness.,0.6162938,1,0
282,Experimentation,I test ideas to see what works.,I apply my ideas to see which ones work well.,0.67659837,1,0
283,Experimentation,I test ideas to see what works.,I use my ideas in practice to test their success.,0.6713509,1,0
284,Experimentation,I test ideas to see what works.,I evaluate ideas to see which ones are the best.,0.62880874,1,0
285,Experimentation,I test ideas to see what works.,I try different ideas to see how they work out.,0.6938653,1,0
286,Experimentation,I test ideas to see what works.,I put my ideas into action to see their results.,0.60199976,1,0
287,Experimentation,I test ideas to see what works.,I test my ideas to find out which ones are useful.,0.6855978,1,0
288,Experimentation,I test ideas to see what works.,I experiment with different ideas to check their success.,0.6616572,1,0
289,Experimentation,I test ideas to see what works.,I try ideas to see which ones are effective.,0.6696791,1,0
290,Experimentation,I test ideas to see what works.,I see how my ideas work by testing them out.,0.7798918,0,0
291,Experimentation,I test ideas to see what works.,I try out different ideas to see their results.,0.67857563,1,0
292,Experimentation,I test ideas to see what works.,I check which ideas are good by testing them.,0.77420586,0,0
293,Experimentation,I test ideas to see what works.,I use my ideas to see which ones are effective.,0.6294097,1,0
294,Experimentation,I test ideas to see what works.,I try new ideas to find out what works.,0.78101563,0,0
295,Experimentation,I test ideas to see what works.,I test different ideas to learn which are successful.,0.72449553,1,0
296,Experimentation,I test ideas to see what works.,I test out my ideas to see which ones succeed.,0.7742659,0,0
297,Experimentation,I test ideas to see what works.,I use my ideas to test their effectiveness.,0.7045197,1,0
298,Experimentation,I test ideas to see what works.,I try ideas to see their outcomes.,0.6830339,1,0
299,Experimentation,I test ideas to see what works.,I put my ideas to the test to see their success.,0.6752602,1,0
300,Experimentation,I test ideas to see what works.,I experiment with ideas to see their effectiveness.,0.68977785,1,0
301,Experimentation,I test ideas to see what works.,I try different approaches to find out what works.,0.7134187,1,0
302,Experimentation,I test ideas to see what works.,I apply different ideas to see which ones work best.,0.64831275,1,0
303,Experimentation,I test ideas to see what works.,I test ideas to see their effectiveness.,0.7723062,0,0
304,Experimentation,I test ideas to see what works.,I try my ideas to see if they work.,0.7012564,1,0
305,Experimentation,I test ideas to see what works.,I explore ideas to understand which ones are effective.,0.6262068,1,0
306,Synthesising,I combine ideas into new concepts.,I create new ideas by mixing different thoughts.,0.82500994,0,0
307,Synthesising,I combine ideas into new concepts.,I merge different ideas to form new concepts.,0.94425195,0,0
308,Synthesising,I combine ideas into new concepts.,I bring together ideas to create something new.,0.8061991,0,0
309,Synthesising,I combine ideas into new concepts.,I develop new concepts by combining ideas.,0.9329506,0,0
310,Synthesising,I combine ideas into new concepts.,I fuse ideas into fresh concepts.,0.8956585,0,0
311,Synthesising,I combine ideas into new concepts.,I join ideas to make new concepts.,0.86192584,0,0
312,Synthesising,I combine ideas into new concepts.,I integrate different ideas to invent new things.,0.72727513,1,0
313,Synthesising,I combine ideas into new concepts.,I connect ideas to form new concepts.,0.8758186,0,0
314,Synthesising,I combine ideas into new concepts.,I unite ideas to generate new concepts.,0.8772299,0,0
