facet,anchor,stem_text
Reflective Learning,I think about what I’ve learned.,I reflect on what I have learned recently.
Reflective Learning,I think about what I’ve learned.,I pay attention to what I have studied.
Reflective Learning,I think about what I’ve learned.,I think over the things I’ve learned.
Reflective Learning,I think about what I’ve learned.,I dwell on the lessons I’ve received.
Reflective Learning,I think about what I’ve learned.,I think about the information I have absorbed.
Reflective Learning,I think about what I’ve learned.,I assess what I have learned.
Reflective Learning,I think about what I’ve learned.,I review the things I’ve been taught.
Reflective Learning,I think about what I’ve learned.,I think about the skills I have acquired.
Reflective Learning,I think about what I’ve learned.,I think over my recent learning experiences.
Reflective Learning,I think about what I’ve learned.,I consider the topics I’ve covered.
Reflective Learning,I think about what I’ve learned.,I think back to my recent lessons.
Reflective Learning,I think about what I’ve learned.,I evaluate the information I have learned.
Reflective Learning,I think about what I’ve learned.,I focus on the lessons I have received.
Sense-Making,I turn data into clear stories.,I transform data into understandable stories.
Sense-Making,I turn data into clear stories.,I make data easy to understand by telling stories.
Sense-Making,I turn data into clear stories.,I convert data into simple stories.
Sense-Making,I turn data into clear stories.,I change data into stories that are easy to follow.
Sense-Making,I turn data into clear stories.,I create stories from data that are clear.
Sense-Making,I turn data into clear stories.,I develop stories from data that are easy to grasp.
Sense-Making,I turn data into clear stories.,I turn information into stories that make sense.
Sense-Making,I turn data into clear stories.,I shape data into stories that are easy to understand.
Sense-Making,I turn data into clear stories.,I craft data into stories that are clear.
Sense-Making,I turn data into clear stories.,I present data as stories that are easy to follow.
Sense-Making,I turn data into clear stories.,I tell stories with data that everyone can understand.
Sense-Making,I turn data into clear stories.,I use data to create stories that are simple.
Sense-Making,I turn data into clear stories.,I make stories from data that are clear.
Sense-Making,I turn data into clear stories.,I build stories from data that are easy to understand.
Sense-Making,I turn data into clear stories.,I translate data into stories that are clear.
Sense-Making,I turn data into clear stories.,I organize data into stories that make sense.
Sense-Making,I turn data into clear stories.,I convert information into stories that are easy to follow.
Sense-Making,I turn data into clear stories.,I design stories from data that are clear.
Sense-Making,I turn data into clear stories.,I turn complex data into simple stories.
Sense-Making,I turn data into clear stories.,I express data as stories that are easy to understand.
Sense-Making,I turn data into clear stories.,I create clear stories using data.
Sense-Making,I turn data into clear stories.,I make stories with data that are easy to grasp.
Sense-Making,I turn data into clear stories.,I write stories from data that are clear.
Sense-Making,I turn data into clear stories.,I produce stories using data that are easy to understand.
Sense-Making,I turn data into clear stories.,I explain data through stories that make sense.
Sense-Making,I turn data into clear stories.,I shape information into stories that are easy to grasp.
Sense-Making,I turn data into clear stories.,I compose stories from data that are clear.
Sense-Making,I turn data into clear stories.,I interpret data into stories that everyone can follow.
Ideation,I generate many ideas quickly.,I come up with ideas fast.
Ideation,I generate many ideas quickly.,I think of many ideas in little time.
Ideation,I generate many ideas quickly.,I quickly create a lot of ideas.
Ideation,I generate many ideas quickly.,I easily generate lots of ideas.
Ideation,I generate many ideas quickly.,I produce numerous ideas quickly.
Ideation,I generate many ideas quickly.,I rapidly form many ideas.
Ideation,I generate many ideas quickly.,I am quick at thinking of ideas.
Ideation,I generate many ideas quickly.,I quickly think of multiple ideas.
Ideation,I generate many ideas quickly.,I have a fast imagination for ideas.
Ideation,I generate many ideas quickly.,I can generate ideas speedily.
Ideation,I generate many ideas quickly.,I develop ideas swiftly and often.
Ideation,I generate many ideas quickly.,I am fast at creating ideas.
Ideation,I generate many ideas quickly.,I can come up with ideas quickly.
Ideation,I generate many ideas quickly.,I find it easy to think of ideas fast.
Ideation,I generate many ideas quickly.,I have no trouble generating ideas quickly.
Ideation,I generate many ideas quickly.,I am good at thinking of ideas quickly.
Ideation,I generate many ideas quickly.,I think of new ideas quickly.
Ideation,I generate many ideas quickly.,I quickly imagine many different ideas.
Ideation,I generate many ideas quickly.,I can easily think of many ideas.
Ideation,I generate many ideas quickly.,I am able to create ideas quickly.
Ideation,I generate many ideas quickly.,I quickly develop a lot of ideas.
Ideation,I generate many ideas quickly.,I have many ideas in a short time.
Ideation,I generate many ideas quickly.,I quickly come up with new ideas.
Ideation,I generate many ideas quickly.,I generate several ideas in little time.
Ideation,I generate many ideas quickly.,I am fast at producing new ideas.
Ideation,I generate many ideas quickly.,I quickly have a lot of ideas.
Ideation,I generate many ideas quickly.,I quickly bring forth many ideas.
Innovation,I turn ideas into real projects.,I make ideas become real projects.
Innovation,I turn ideas into real projects.,I transform ideas into actual projects.
Innovation,I turn ideas into real projects.,I convert ideas into real projects.
Innovation,I turn ideas into real projects.,I develop ideas into concrete projects.
Innovation,I turn ideas into real projects.,I create real projects from ideas.
Innovation,I turn ideas into real projects.,I bring ideas to life as projects.
Innovation,I turn ideas into real projects.,I build real projects from ideas.
Innovation,I turn ideas into real projects.,I put ideas into real projects.
Innovation,I turn ideas into real projects.,I turn concepts into real projects.
Innovation,I turn ideas into real projects.,I produce real projects from ideas.
Innovation,I turn ideas into real projects.,I realize ideas into projects.
Innovation,I turn ideas into real projects.,I shape ideas into real projects.
Innovation,I turn ideas into real projects.,I craft ideas into actual projects.
Innovation,I turn ideas into real projects.,I work on ideas to make them real projects.
Innovation,I turn ideas into real projects.,I execute ideas into real projects.
Innovation,I turn ideas into real projects.,I implement ideas into actual projects.
Innovation,I turn ideas into real projects.,I carry ideas into real projects.
Innovation,I turn ideas into real projects.,I change ideas into real projects.
Innovation,I turn ideas into real projects.,I actualize ideas as real projects.
Innovation,I turn ideas into real projects.,I evolve ideas into real projects.
Innovation,I turn ideas into real projects.,I establish real projects from ideas.
Innovation,I turn ideas into real projects.,I develop real projects from concepts.
Innovation,I turn ideas into real projects.,I translate ideas into real projects.
Innovation,I turn ideas into real projects.,I make projects from ideas.
Innovation,I turn ideas into real projects.,I create projects from ideas.
Innovation,I turn ideas into real projects.,I achieve real projects from ideas.
Innovation,I turn ideas into real projects.,I turn thoughts into real projects.
Innovation,I turn ideas into real projects.,I bring projects to life from ideas.
Aesthetic Sensitivity,I notice small design details.,I pay attention to small design details.
Aesthetic Sensitivity,I notice small design details.,I often see little design details.
Aesthetic Sensitivity,I notice small design details.,I focus on the small details in designs.
Aesthetic Sensitivity,I notice small design details.,I observe the small details in a design.
Aesthetic Sensitivity,I notice small design details.,I am aware of small details in designs.
Aesthetic Sensitivity,I notice small design details.,I catch the small design details.
Aesthetic Sensitivity,I notice small design details.,I spot small details in a design.
Aesthetic Sensitivity,I notice small design details.,I see small details in designs.
Aesthetic Sensitivity,I notice small design details.,I look closely at small design details.
Aesthetic Sensitivity,I notice small design details.,I notice the minor details in a design.
Aesthetic Sensitivity,I notice small design details.,I find small details in designs.
Aesthetic Sensitivity,I notice small design details.,I often catch tiny design details.
Aesthetic Sensitivity,I notice small design details.,I am attentive to small details in designs.
Aesthetic Sensitivity,I notice small design details.,I can see small design details.
Aesthetic Sensitivity,I notice small design details.,I recognize little details in designs.
Aesthetic Sensitivity,I notice small design details.,I observe minor details in designs.
Aesthetic Sensitivity,I notice small design details.,I pay attention to the small aspects of designs.
Aesthetic Sensitivity,I notice small design details.,I see the fine details in a design.
Aesthetic Sensitivity,I notice small design details.,I focus on minor details in designs.
Aesthetic Sensitivity,I notice small design details.,I notice the little aspects of a design.
Aesthetic Sensitivity,I notice small design details.,I am aware of the small parts in designs.
Aesthetic Sensitivity,I notice small design details.,I catch the fine details in designs.
Aesthetic Sensitivity,I notice small design details.,I spot the tiny details in a design.
Aesthetic Sensitivity,I notice small design details.,I observe the fine points of a design.
Aesthetic Sensitivity,I notice small design details.,I see the minor details in designs.
Aesthetic Sensitivity,I notice small design details.,I pay attention to the fine aspects of a design.
Aesthetic Sensitivity,I notice small design details.,I focus on the tiny design details.
Aesthetic Sensitivity,I notice small design details.,I am aware of the little design details.
Improvisation,I adapt when plans change.,I adjust when things don't go as planned.
Improvisation,I adapt when plans change.,I am flexible when plans shift.
Improvisation,I adapt when plans change.,I go with the flow when schedules change.
Improvisation,I adapt when plans change.,I handle changes to plans easily.
Improvisation,I adapt when plans change.,I manage well when plans are different.
Improvisation,I adapt when plans change.,I cope with changes in plans.
Improvisation,I adapt when plans change.,I modify my actions when plans alter.
Improvisation,I adapt when plans change.,I am okay with changes in plans.
Improvisation,I adapt when plans change.,I can handle it when plans are revised.
Improvisation,I adapt when plans change.,I respond well to adjustments in plans.
Improvisation,I adapt when plans change.,I deal with changes to plans smoothly.
Improvisation,I adapt when plans change.,I alter my approach when plans differ.
Improvisation,I adapt when plans change.,I embrace changes when plans are updated.
Improvisation,I adapt when plans change.,I am comfortable with changes in plans.
Improvisation,I adapt when plans change.,I work well with new plans.
Improvisation,I adapt when plans change.,I am adaptable when plans change.
Improvisation,I adapt when plans change.,I can adjust when plans are altered.
Improvisation,I adapt when plans change.,I make changes when plans don't stay the same.
Improvisation,I adapt when plans change.,I am open to changes in plans.
Improvisation,I adapt when plans change.,I rearrange my schedule when plans shift.
Improvisation,I adapt when plans change.,I can manage when plans are modified.
Improvisation,I adapt when plans change.,I am able to adapt to new situations.
Improvisation,I adapt when plans change.,I change my plans when necessary.
Improvisation,I adapt when plans change.,I find it easy to adapt to changes.
Improvisation,I adapt when plans change.,I am quick to adjust when plans change.
Improvisation,I adapt when plans change.,I can switch my plans easily.
Improvisation,I adapt when plans change.,I stay calm when plans change.
Improvisation,I adapt when plans change.,I am ready to change plans if needed.
Experimentation,I test ideas to see what works.,I try out ideas to find the best solution.
Experimentation,I test ideas to see what works.,I experiment with ideas to discover what is effective.
Experimentation,I test ideas to see what works.,I check my ideas to know which ones are successful.
Experimentation,I test ideas to see what works.,I explore different ideas to determine their effectiveness.
Experimentation,I test ideas to see what works.,I apply my ideas to see which ones work well.
Experimentation,I test ideas to see what works.,I use my ideas in practice to test their success.
Experimentation,I test ideas to see what works.,I evaluate ideas to see which ones are the best.
Experimentation,I test ideas to see what works.,I try different ideas to see how they work out.
Experimentation,I test ideas to see what works.,I put my ideas into action to see their results.
Experimentation,I test ideas to see what works.,I test my ideas to find out which ones are useful.
Experimentation,I test ideas to see what works.,I experiment with different ideas to check their success.
Experimentation,I test ideas to see what works.,I try ideas to see which ones are effective.
Experimentation,I test ideas to see what works.,I see how my ideas work by testing them out.
Experimentation,I test ideas to see what works.,I try out different ideas to see their results.
Experimentation,I test ideas to see what works.,I check which ideas are good by testing them.
Experimentation,I test ideas to see what works.,I use my ideas to see which ones are effective.
Experimentation,I test ideas to see what works.,I try new ideas to find out what works.
Experimentation,I test ideas to see what works.,I test different ideas to learn which are successful.
Experimentation,I test ideas to see what works.,I test out my ideas to see which ones succeed.
Experimentation,I test ideas to see what works.,I use my ideas to test their effectiveness.
Experimentation,I test ideas to see what works.,I try ideas to see their outcomes.
Experimentation,I test ideas to see what works.,I put my ideas to the test to see their success.
Experimentation,I test ideas to see what works.,I experiment with ideas to see their effectiveness.
Experimentation,I test ideas to see what works.,I try different approaches to find out what works.
Experimentation,I test ideas to see what works.,I apply different ideas to see which ones work best.
Experimentation,I test ideas to see what works.,I test ideas to see their effectiveness.
Experimentation,I test ideas to see what works.,I try my ideas to see if they work.
Experimentation,I test ideas to see what works.,I explore ideas to understand which ones are effective.
Synthesising,I combine ideas into new concepts.,I create new ideas by mixing different thoughts.
Synthesising,I combine ideas into new concepts.,I merge different ideas to form new concepts.
Synthesising,I combine ideas into new concepts.,I bring together ideas to create something new.
Synthesising,I combine ideas into new concepts.,I develop new concepts by combining ideas.
Synthesising,I combine ideas into new concepts.,I fuse ideas into fresh concepts.
Synthesising,I combine ideas into new concepts.,I join ideas to make new concepts.
Synthesising,I combine ideas into new concepts.,I integrate different ideas to invent new things.
Synthesising,I combine ideas into new concepts.,I connect ideas to form new concepts.
Synthesising,I combine ideas into new concepts.,I unite ideas to generate new concepts.
Synthesising,I combine ideas into new concepts.,I weave ideas into new concepts.
Synthesising,I combine ideas into new concepts.,I assemble ideas into new thoughts.
Synthesising,I combine ideas into new concepts.,I blend ideas to come up with new concepts.
Synthesising,I combine ideas into new concepts.,I put together ideas to create new concepts.
Synthesising,I combine ideas into new concepts.,I construct new concepts from various ideas.
Synthesising,I combine ideas into new concepts.,I design new concepts by linking ideas.
Synthesising,I combine ideas into new concepts.,I synthesize ideas into new concepts.
Synthesising,I combine ideas into new concepts.,I formulate new concepts by combining ideas.
Synthesising,I combine ideas into new concepts.,I invent new concepts by joining ideas.
Synthesising,I combine ideas into new concepts.,I craft new concepts from mixed ideas.
Synthesising,I combine ideas into new concepts.,I shape fresh concepts by uniting ideas.
Synthesising,I combine ideas into new concepts.,I produce new concepts by assembling ideas.
Synthesising,I combine ideas into new concepts.,I evolve ideas into new concepts.
Synthesising,I combine ideas into new concepts.,I make new concepts by combining different ideas.
Synthesising,I combine ideas into new concepts.,I develop fresh concepts by uniting ideas.
Synthesising,I combine ideas into new concepts.,I compose new concepts by merging ideas.
Synthesising,I combine ideas into new concepts.,I transform ideas into new concepts.
Synthesising,I combine ideas into new concepts.,I generate new concepts by fusing ideas.
Synthesising,I combine ideas into new concepts.,I form new concepts by integrating various ideas.
Achievement Focus,I aim for challenging goals.,I set ambitious targets for myself.
Achievement Focus,I aim for challenging goals.,I strive to achieve difficult objectives.
Achievement Focus,I aim for challenging goals.,I work towards challenging aims.
Achievement Focus,I aim for challenging goals.,I focus on reaching high goals.
Achievement Focus,I aim for challenging goals.,I pursue tough targets in my life.
Achievement Focus,I aim for challenging goals.,I aim for demanding objectives.
Achievement Focus,I aim for challenging goals.,I seek to accomplish challenging tasks.
Achievement Focus,I aim for challenging goals.,I go after ambitious goals.
Achievement Focus,I aim for challenging goals.,I try to achieve significant targets.
Achievement Focus,I aim for challenging goals.,I aim to reach difficult goals.
Achievement Focus,I aim for challenging goals.,I pursue lofty objectives.
Achievement Focus,I aim for challenging goals.,I set high standards for my goals.
Achievement Focus,I aim for challenging goals.,I challenge myself with ambitious aims.
Achievement Focus,I aim for challenging goals.,I target difficult achievements.
Achievement Focus,I aim for challenging goals.,I work hard to reach challenging goals.
Achievement Focus,I aim for challenging goals.,I focus on ambitious targets.
Achievement Focus,I aim for challenging goals.,I strive for high achievements.
Achievement Focus,I aim for challenging goals.,I aim to accomplish tough objectives.
Achievement Focus,I aim for challenging goals.,I pursue challenging goals with determination.
Achievement Focus,I aim for challenging goals.,I set demanding goals for myself.
Achievement Focus,I aim for challenging goals.,I strive for goals that challenge me.
Achievement Focus,I aim for challenging goals.,I aim to achieve ambitious objectives.
Achievement Focus,I aim for challenging goals.,I work towards tough achievements.
Achievement Focus,I aim for challenging goals.,I pursue significant goals.
Achievement Focus,I aim for challenging goals.,I focus on achieving demanding targets.
Achievement Focus,I aim for challenging goals.,I target ambitious accomplishments.
Achievement Focus,I aim for challenging goals.,I set my sights on challenging objectives.
Achievement Focus,I aim for challenging goals.,I aim high with my goals.
Discipline,I stick to a task until done.,I complete tasks once I start them.
Discipline,I stick to a task until done.,I work on tasks until they are finished.
Discipline,I stick to a task until done.,I make sure to finish what I begin.
Discipline,I stick to a task until done.,I keep going until my work is done.
Discipline,I stick to a task until done.,I stay focused on a task until it's complete.
Discipline,I stick to a task until done.,I continue working on a task until I finish it.
Discipline,I stick to a task until done.,I don't stop a task until it's done.
Discipline,I stick to a task until done.,I always see my tasks through to the end.
Discipline,I stick to a task until done.,I remain committed to finishing a task.
Discipline,I stick to a task until done.,I carry on with a task until I complete it.
Discipline,I stick to a task until done.,I follow through with tasks until they are completed.
Discipline,I stick to a task until done.,I dedicate myself to finishing tasks I start.
Discipline,I stick to a task until done.,I finish what I start without stopping.
Discipline,I stick to a task until done.,I stay on track with tasks until they are done.
Discipline,I stick to a task until done.,I persist with my work until it's finished.
Discipline,I stick to a task until done.,I ensure I complete tasks I begin.
Discipline,I stick to a task until done.,I maintain my focus on tasks until they are done.
Discipline,I stick to a task until done.,I finish tasks I start without giving up.
Discipline,I stick to a task until done.,I keep working on a task until it is completed.
Discipline,I stick to a task until done.,I make sure to finish tasks I begin.
Discipline,I stick to a task until done.,I continue with tasks until they are complete.
Discipline,I stick to a task until done.,I see my tasks through until they are finished.
Discipline,I stick to a task until done.,I stick with a task until it's completed.
Discipline,I stick to a task until done.,I focus on my tasks until they are finished.
Discipline,I stick to a task until done.,I pursue my tasks until they are done.
Discipline,I stick to a task until done.,I follow through on tasks until they are finished.
Discipline,I stick to a task until done.,I work until my tasks are complete.
Discipline,I stick to a task until done.,I remain focused on my tasks until they are done.
Adaptable Execution,I adjust plans when things change.,I change my plans if situations are different.
Adaptable Execution,I adjust plans when things change.,I make new plans when events are not as expected.
Adaptable Execution,I adjust plans when things change.,I modify my plans when circumstances alter.
Adaptable Execution,I adjust plans when things change.,I adapt my schedule when things are not the same.
Adaptable Execution,I adjust plans when things change.,I rearrange my plans if conditions vary.
Adaptable Execution,I adjust plans when things change.,I change my arrangements when situations shift.
Adaptable Execution,I adjust plans when things change.,I adjust my schedule when events change.
Adaptable Execution,I adjust plans when things change.,I alter my plans when things are different.
Adaptable Execution,I adjust plans when things change.,I revise my plans if circumstances change.
Adaptable Execution,I adjust plans when things change.,I update my plans when needed.
Adaptable Execution,I adjust plans when things change.,I make adjustments to my plans when required.
Adaptable Execution,I adjust plans when things change.,I develop new plans when needed.
Adaptable Execution,I adjust plans when things change.,I transform my plans when situations require it.
Adaptable Execution,I adjust plans when things change.,I switch my plans when necessary.
Adaptable Execution,I adjust plans when things change.,I reorganize my plans when things are not as planned.
Adaptable Execution,I adjust plans when things change.,I customize my plans when situations change.
Adaptable Execution,I adjust plans when things change.,I reshape my plans when needed.
Adaptable Execution,I adjust plans when things change.,I edit my plans if things differ.
Adaptable Execution,I adjust plans when things change.,I rework my plans when conditions are different.
Adaptable Execution,I adjust plans when things change.,I revise my schedule when situations demand it.
Adaptable Execution,I adjust plans when things change.,I change my approach if circumstances alter.
Adaptable Execution,I adjust plans when things change.,I shift my plans when necessary.
Adaptable Execution,I adjust plans when things change.,I tweak my plans when events are different.
Adaptable Execution,I adjust plans when things change.,I modify my approach when needed.
Adaptable Execution,I adjust plans when things change.,I adapt my plans to new situations.
Adaptable Execution,I adjust plans when things change.,I adjust my plans according to changes.
Adaptable Execution,I adjust plans when things change.,I fit my plans to new circumstances.
Adaptable Execution,I adjust plans when things change.,I tailor my plans when things change.
Resilience,I bounce back after setbacks.,I recover quickly after challenges.
Resilience,I bounce back after setbacks.,I handle difficulties and move forward.
Resilience,I bounce back after setbacks.,I get back on track after problems.
Resilience,I bounce back after setbacks.,I deal with setbacks and keep going.
Resilience,I bounce back after setbacks.,I overcome obstacles and continue.
Resilience,I bounce back after setbacks.,I move past setbacks efficiently.
Resilience,I bounce back after setbacks.,I regain my balance after difficulties.
Resilience,I bounce back after setbacks.,I cope well with setbacks.
Resilience,I bounce back after setbacks.,I adjust after encountering problems.
Resilience,I bounce back after setbacks.,I manage to recover after setbacks.
Resilience,I bounce back after setbacks.,I adapt to challenges and progress.
Resilience,I bounce back after setbacks.,I face obstacles and bounce back.
Resilience,I bounce back after setbacks.,I return to my path after disruptions.
Resilience,I bounce back after setbacks.,I handle challenges and keep progressing.
Resilience,I bounce back after setbacks.,I bounce back from difficulties easily.
Resilience,I bounce back after setbacks.,I get back on my feet after setbacks.
Resilience,I bounce back after setbacks.,I come through challenges with resilience.
Resilience,I bounce back after setbacks.,I recover from setbacks effectively.
Resilience,I bounce back after setbacks.,I regain my strength after problems.
