facet,stem_text,drift_flag,readability_flag,length_flag
Foresight,I reflect on what could happen soon.,0,0,0
Foresight,I speculate about future happenings.,0,0,0
Foresight,I ponder on future outcomes.,0,0,0
Foresight,I await what the future brings.,0,0,0
Foresight,I focus on upcoming possibilities.,0,0,0
Foresight,I keep an eye on future trends.,0,0,0
Foresight,I think about what will unfold.,0,0,0
Foresight,I consider what the future might bring.,0,0,0
Foresight,I plan for what will happen.,0,0,0
Curiosity,I like discovering fresh concepts.,0,0,0
Curiosity,I love learning about novel ideas.,0,0,0
Curiosity,I am keen on finding new thoughts.,0,0,0
Curiosity,I am interested in uncovering new ideas.,0,0,0
Curiosity,I am fond of exploring different concepts.,0,0,0
Curiosity,I enjoy investigating new theories.,0,0,0
Curiosity,I find joy in seeking out new ideas.,0,0,0
Curiosity,I take pleasure in discovering innovative thoughts.,0,0,0
Curiosity,I am enthusiastic about exploring fresh ideas.,0,0,0
Curiosity,I like to delve into new concepts.,0,0,0
Curiosity,I appreciate learning about different ideas.,0,0,0
Curiosity,I enjoy examining new philosophies.,0,0,0
Curiosity,I delight in discovering new insights.,0,0,0
Curiosity,I am passionate about finding new ideas.,0,0,0
Curiosity,I enjoy uncovering fresh concepts.,0,0,0
Curiosity,I am curious about new ideas.,0,0,0
Curiosity,I enjoy learning about different ways of thinking.,0,0,0
Curiosity,I like exploring different perspectives.,0,0,0
Curiosity,I take pleasure in finding fresh ideas.,0,0,0
Curiosity,I am interested in new ways of thinking.,0,0,0
Curiosity,I enjoy discovering unique ideas.,0,0,0
Curiosity,I am curious to learn about new concepts.,0,0,0
Curiosity,I find excitement in exploring new ideas.,0,0,0
Curiosity,I relish uncovering new thoughts.,0,0,0
Curiosity,I have a passion for exploring new ideas.,0,0,0
Curiosity,I enjoy seeking out new perspectives.,0,0,0
Curiosity,I am excited to learn about new ideas.,0,0,0
Reflective Learning,I reflect on my learning experiences.,0,0,0
Reflective Learning,I consider the things I've learned.,0,0,0
Reflective Learning,I review the lessons I've absorbed.,0,0,0
Reflective Learning,I focus on my acquired knowledge.,0,0,0
Reflective Learning,I ponder over my recent learning.,0,0,0
Reflective Learning,I recall the information I've gained.,0,0,0
Reflective Learning,I think back on what I've studied.,0,0,0
Reflective Learning,I contemplate my learning journey.,0,0,0
Reflective Learning,I evaluate the knowledge I've received.,0,0,0
Reflective Learning,I go over what I've learned.,0,0,0
Reflective Learning,I analyze my educational progress.,0,0,0
Reflective Learning,I remember the concepts I've grasped.,0,0,0
Reflective Learning,I look back at my learning.,0,0,0
Reflective Learning,I assess the things I've learned.,0,0,0
Reflective Learning,I revisit the knowledge I've acquired.,0,0,0
Reflective Learning,I keep in mind what I've learned.,0,0,0
Reflective Learning,I think about the insights I've gained.,0,0,0
Reflective Learning,I consider how much I've learned.,0,0,0
Reflective Learning,I reflect on my gained knowledge.,0,0,0
Reflective Learning,I review the skills I've learned.,0,0,0
Reflective Learning,I focus on what I've been taught.,0,0,0
Reflective Learning,I ponder the lessons I've learned.,0,0,0
Reflective Learning,I contemplate the information I've gained.,0,0,0
Reflective Learning,I evaluate what I've studied.,0,0,0
Reflective Learning,I recall my learning experiences.,0,0,0
Reflective Learning,I think over what I've learned.,0,0,0
Reflective Learning,I consider my recent studies.,0,0,0
Sense-Making,I make data easy to understand.,0,0,0
Sense-Making,I transform data into simple stories.,0,0,0
Sense-Making,I convert data into clear narratives.,0,0,0
Sense-Making,I change data into easy-to-follow stories.,0,0,0
Sense-Making,I help make data stories understandable.,0,0,0
Sense-Making,I turn complex data into simple tales.,0,0,0
Sense-Making,I create clear stories from data.,0,0,0
Sense-Making,I explain data through storytelling.,0,0,0
Sense-Making,I shape data into coherent stories.,0,0,0
Sense-Making,I organize data into clear narratives.,0,0,0
Sense-Making,I bring clarity to data through stories.,0,0,0
Sense-Making,I tell stories with data.,0,0,0
Sense-Making,I use data to tell clear stories.,0,0,0
Sense-Making,I simplify data into clear stories.,0,0,0
Sense-Making,I craft stories from data.,0,0,0
Sense-Making,I present data as easy stories.,0,0,0
Sense-Making,I turn data into understandable stories.,0,0,0
Sense-Making,I make stories from data.,0,0,0
Sense-Making,I communicate data through clear stories.,0,0,0
Sense-Making,I write simple stories from data.,0,0,0
Sense-Making,I express data as clear stories.,0,0,0
Sense-Making,I develop clear stories from data.,0,0,0
Sense-Making,I form clear stories using data.,0,0,0
Sense-Making,I give data a clear story.,0,0,0
Sense-Making,I relate data in clear stories.,0,0,0
Sense-Making,I transform complex data into clear stories.,0,0,0
Sense-Making,I narrate data in an easy-to-understand way.,0,0,0
Ideation,I come up with ideas fast.,0,0,0
Ideation,I quickly think of many ideas.,0,0,0
Ideation,I have many ideas in a short time.,0,0,0
Ideation,I think of ideas rapidly.,0,0,0
Ideation,I create ideas quickly.,0,0,0
Ideation,I quickly generate lots of ideas.,0,0,0
Ideation,I am fast at coming up with ideas.,0,0,0
Ideation,I produce many ideas in a short period.,0,0,0
Ideation,I quickly think of new ideas.,0,0,0
Ideation,I have a rapid flow of ideas.,0,0,0
Ideation,I can create ideas in no time.,0,0,0
Ideation,I quickly develop a variety of ideas.,0,0,0
Ideation,I am quick at generating ideas.,0,0,0
Ideation,I easily come up with many ideas.,0,0,0
Ideation,I rapidly think of multiple ideas.,0,0,0
Ideation,I generate a lot of ideas quickly.,0,0,0
Ideation,I quickly imagine many ideas.,0,0,0
Ideation,I am fast at thinking up ideas.,0,0,0
Ideation,I have a quick mind for ideas.,0,0,0
Ideation,I can quickly produce many ideas.,0,0,0
Ideation,I quickly form different ideas.,0,0,0
Ideation,I think up ideas quickly.,0,0,0
Ideation,I have a fast idea generation process.,0,0,0
Ideation,I quickly brainstorm many ideas.,0,0,0
Ideation,I rapidly create various ideas.,0,0,0
Ideation,I can quickly come up with ideas.,0,0,0
Ideation,I think of ideas swiftly.,0,0,0
Ideation,I am quick to generate new ideas.,0,0,0
Innovation,I make my ideas come to life with real projects.,0,0,0
Innovation,I transform my ideas into actual projects.,0,0,0
Innovation,I bring my ideas to reality through projects.,0,0,0
Innovation,I develop real projects from my ideas.,0,0,0
Innovation,I create projects based on my ideas.,0,0,0
Innovation,I bring my ideas into real-world projects.,0,0,0
Innovation,I turn my ideas into practical projects.,0,0,0
Innovation,I realize my ideas by creating projects.,0,0,0
Innovation,I convert my ideas into projects.,0,0,0
Innovation,I change my ideas into projects that exist.,0,0,0
Innovation,I use my ideas to build real projects.,0,0,0
Innovation,I make projects happen from my ideas.,0,0,0
Innovation,I take my ideas and make them into projects.,0,0,0
Innovation,I shape my ideas into projects.,0,0,0
Innovation,I give life to my ideas with projects.,0,0,0
Innovation,I work on projects that start from my ideas.,0,0,0
Innovation,I bring projects to fruition from my ideas.,0,0,0
Innovation,I implement my ideas as real projects.,0,0,0
Innovation,I carry out my ideas by making projects.,0,0,0
Innovation,I actualize my ideas through projects.,0,0,0
Innovation,I make my thoughts into projects.,0,0,0
Innovation,I craft projects from my ideas.,0,0,0
Innovation,I execute projects based on my ideas.,0,0,0
Innovation,I translate my ideas into projects.,0,0,0
Innovation,I bring projects to life from my ideas.,0,0,0
Innovation,I produce projects from my ideas.,0,0,0
Innovation,I turn creative ideas into real projects.,0,0,0
Innovation,I realize my thoughts in the form of projects.,0,0,0
Aesthetic Sensitivity,I pay attention to small design details.,0,0,0
Aesthetic Sensitivity,I observe the little details in designs.,0,0,0
Aesthetic Sensitivity,I see the small elements in design work.,0,0,0
Aesthetic Sensitivity,I spot tiny design features.,0,0,0
Aesthetic Sensitivity,I look at the fine details in designs.,0,0,0
Aesthetic Sensitivity,I focus on the minor aspects of a design.,0,0,0
Aesthetic Sensitivity,I catch the small design elements.,0,0,0
Aesthetic Sensitivity,I am aware of the little parts in a design.,0,0,0
Aesthetic Sensitivity,I notice the intricate details in designs.,0,0,0
Aesthetic Sensitivity,I pay close attention to design subtleties.,0,0,0
Aesthetic Sensitivity,I am attentive to the finer points in designs.,0,0,0
Aesthetic Sensitivity,I pick up on small design features.,0,0,0
Aesthetic Sensitivity,I see the fine points in design work.,0,0,0
Aesthetic Sensitivity,I identify small details in design.,0,0,0
Aesthetic Sensitivity,I observe the subtle design elements.,0,0,0
Aesthetic Sensitivity,I am mindful of the minor design details.,0,0,0
Aesthetic Sensitivity,I catch the little design nuances.,0,0,0
Aesthetic Sensitivity,I focus on the tiny details in designs.,0,0,0
Aesthetic Sensitivity,I notice the small features in a design.,0,0,0
Aesthetic Sensitivity,I pay attention to the minor parts of a design.,0,0,0
Aesthetic Sensitivity,I am aware of the small design specifics.,0,0,0
Aesthetic Sensitivity,I see the small details in designs.,0,0,0
Aesthetic Sensitivity,I spot the subtle elements in design.,0,0,0
Aesthetic Sensitivity,I look for the fine details in designs.,0,0,0
Aesthetic Sensitivity,I focus on the small aspects of design work.,0,0,0
Aesthetic Sensitivity,I observe the tiny features in a design.,0,0,0
Aesthetic Sensitivity,I am attentive to the small points in designs.,0,0,0
Aesthetic Sensitivity,I notice the little things in design work.,0,0,0
Improvisation,I adjust when plans are different.,0,0,0
Improvisation,I go with the flow when things change.,0,0,0
Improvisation,I am flexible when plans need to change.,0,0,0
Improvisation,I handle changes to plans well.,0,0,0
Improvisation,I easily adapt when plans are altered.,0,0,0
Improvisation,I smoothly adjust to new plans.,0,0,0
Improvisation,I manage well when plans shift.,0,0,0
Improvisation,I am good at adjusting to changes in plans.,0,0,0
Improvisation,I change my plans when needed.,0,0,0
Improvisation,I am comfortable with changing plans.,0,0,0
Improvisation,I can adapt when plans are not the same.,0,0,0
Improvisation,I adjust when there are changes to plans.,0,0,0
Improvisation,I am okay with plans being different.,0,0,0
Improvisation,I handle changes in plans without problems.,0,0,0
Improvisation,I am able to adapt to new plans.,0,0,0
Improvisation,I am fine with plans changing.,0,0,0
Improvisation,I can go along with plan changes.,0,0,0
Improvisation,I adjust my plans when necessary.,0,0,0
Improvisation,I accept changes to plans easily.,0,0,0
Improvisation,I can handle it when plans change.,0,0,0
Improvisation,I am quick to adapt to plan changes.,0,0,0
Improvisation,I don't mind when plans are different.,0,0,0
Improvisation,I adapt well to changes in plans.,0,0,0
Improvisation,I am used to plans changing.,0,0,0
Improvisation,I find it easy to adjust when plans change.,0,0,0
Improvisation,I am good at going along with new plans.,0,0,0
Improvisation,I can easily switch when plans change.,0,0,0
Improvisation,I am flexible with changes to plans.,0,0,0
Experimentation,I try out ideas to find out what is effective.,0,0,0
Experimentation,I experiment with ideas to understand what works.,0,0,0
Experimentation,I explore ideas to see which ones succeed.,0,0,0
Experimentation,I test different ideas to see their results.,0,0,0
Experimentation,I assess ideas to discover what is useful.,0,0,0
Experimentation,I try different ideas to learn what is effective.,0,0,0
Experimentation,I check ideas to see how they perform.,0,0,0
Experimentation,I validate ideas to find out what functions well.,0,0,0
Experimentation,I evaluate ideas to know what works.,0,0,0
Experimentation,I test concepts to see which are successful.,0,0,0
Experimentation,I try new ideas to understand what is effective.,0,0,0
Experimentation,I experiment with different ideas to see what works.,0,0,0
Experimentation,I check out ideas to learn what is effective.,0,0,0
Experimentation,I test out ideas to see what gives good results.,0,0,0
Experimentation,I examine ideas to know what is effective.,0,0,0
Experimentation,I explore new ideas to see what works.,0,0,0
Experimentation,I experiment with ideas to see their effectiveness.,0,0,0
Experimentation,I trial ideas to determine what is effective.,0,0,0
Experimentation,I try out new ideas to see what works best.,0,0,0
Experimentation,I test different concepts to see their effectiveness.,0,0,0
Experimentation,I assess new ideas to find out what is useful.,0,0,0
Experimentation,I analyze ideas to see what works well.,0,0,0
Experimentation,I try various ideas to learn which ones work.,0,0,0
Experimentation,I test ideas to find out their effectiveness.,0,0,0
Experimentation,I try ideas to see how well they work.,0,0,0
Experimentation,I experiment with ideas to find out what works.,0,0,0
Experimentation,I try new concepts to see which are effective.,0,0,0
Experimentation,I test different approaches to see what succeeds.,0,0,0
Synthesising,I create new concepts from different ideas.,0,0,0
Synthesising,I mix ideas to form new concepts.,0,0,0
Synthesising,I develop new concepts by combining ideas.,0,0,0
Synthesising,I make new concepts by joining ideas.,0,0,0
Synthesising,I link ideas to generate new concepts.,0,0,0
Synthesising,I turn ideas into new concepts.,0,0,0
Synthesising,I use ideas to create new concepts.,0,0,0
Synthesising,I put ideas together to make new concepts.,0,0,0
Synthesising,I blend ideas to create new concepts.,0,0,0
Synthesising,I fuse ideas to make new concepts.,0,0,0
Synthesising,I join ideas to form new concepts.,0,0,0
Synthesising,I integrate ideas into new concepts.,0,0,0
Synthesising,I connect ideas to produce new concepts.,0,0,0
Synthesising,I shape new concepts from various ideas.,0,0,0
Synthesising,I organize ideas into new concepts.,0,0,0
Synthesising,I assemble ideas to form new concepts.,0,0,0
Synthesising,I craft new concepts by mixing ideas.,0,0,0
Synthesising,I synthesize ideas to develop new concepts.,0,0,0
Synthesising,I construct new concepts from ideas.,0,0,0
Synthesising,I gather ideas to create new concepts.,0,0,0
Synthesising,I invent new concepts by combining ideas.,0,0,0
Synthesising,I form new concepts through the fusion of ideas.,0,0,0
Synthesising,I merge ideas into new concepts.,0,0,0
Synthesising,I design new concepts by linking ideas.,0,0,0
Synthesising,I fashion new concepts from joined ideas.,0,0,0
Synthesising,I rework ideas into new concepts.,0,0,0
Synthesising,I derive new concepts from connecting ideas.,0,0,0
Synthesising,I transform ideas into new concepts.,0,0,0
Achievement Focus,I set my sights on difficult goals.,0,0,0
Achievement Focus,I strive to achieve ambitious targets.,0,0,0
Achievement Focus,I go for goals that are challenging.,0,0,0
Achievement Focus,I work towards tough objectives.,0,0,0
Achievement Focus,I focus on reaching demanding goals.,0,0,0
Achievement Focus,I seek to accomplish challenging aims.,0,0,0
Achievement Focus,I pursue ambitious goals.,0,0,0
Achievement Focus,I aim to achieve hard goals.,0,0,0
Achievement Focus,I set challenging targets for myself.,0,0,0
Achievement Focus,I work towards ambitious goals.,0,0,0
Achievement Focus,I focus on achieving difficult goals.,0,0,0
Achievement Focus,I strive to reach high targets.,0,0,0
Achievement Focus,I set ambitious goals for myself.,0,0,0
Achievement Focus,I aim to accomplish tough objectives.,0,0,0
Achievement Focus,I pursue challenging targets.,0,0,0
Achievement Focus,I have a goal to achieve difficult tasks.,0,0,0
Achievement Focus,I aim to reach challenging objectives.,0,0,0
Achievement Focus,I work hard to achieve ambitious goals.,0,0,0
Achievement Focus,I focus on setting and meeting high goals.,0,0,0
Achievement Focus,I strive for demanding targets.,0,0,0
Achievement Focus,I aim for goals that are hard to reach.,0,0,0
Achievement Focus,I pursue goals that challenge me.,0,0,0
Achievement Focus,I work towards achieving difficult aims.,0,0,0
Achievement Focus,I focus on ambitious achievements.,0,0,0
Achievement Focus,I strive to accomplish challenging tasks.,0,0,0
Achievement Focus,I set my goals high.,0,0,0
Achievement Focus,I aim for hard-to-reach targets.,0,0,0
Achievement Focus,I pursue difficult objectives.,0,0,0
Discipline,I complete a task once I start it.,0,0,0
Discipline,I finish what I begin.,0,0,0
Discipline,I work on a task until it's done.,0,0,0
Discipline,I see tasks through to the end.,0,0,0
Discipline,I keep going until my task is finished.,0,0,0
Discipline,I make sure to complete my tasks.,0,0,0
Discipline,I continue working until I finish.,0,0,0
Discipline,I always finish my tasks.,0,0,0
Discipline,I don't stop until I complete my task.,0,0,0
Discipline,I stay focused until my task is done.,0,0,0
Discipline,I follow a task through to completion.,0,0,0
Discipline,I work on a task until it is finished.,0,0,0
Discipline,I persist with a task until it's done.,0,0,0
Discipline,I remain dedicated until my task is complete.,0,0,0
Discipline,I keep at a task until I finish it.,0,0,0
Discipline,I ensure I finish what I start.,0,0,0
Discipline,I complete tasks without giving up.,0,0,0
Discipline,I see my tasks through to completion.,0,0,0
Discipline,I stick with my tasks until they're finished.,0,0,0
Discipline,I carry out a task until it's done.,0,0,0
Discipline,I make sure to finish what I start.,0,0,0
Discipline,I don't quit until my task is complete.,0,0,0
Discipline,I complete my tasks before moving on.,0,0,0
Discipline,I stay on a task until it's finished.,0,0,0
Discipline,I keep working on a task until it's done.,0,0,0
Discipline,I persist until the task is finished.,0,0,0
Discipline,I make sure to complete the tasks I start.,0,0,0
Discipline,I finish a task once I begin it.,0,0,0
Adaptable Execution,I change my plans when situations are different.,0,0,0
Adaptable Execution,I make new plans when things turn out differently.,0,0,0
Adaptable Execution,I adapt my plans when circumstances shift.,0,0,0
Adaptable Execution,I modify my plans when there are changes.,0,0,0
Adaptable Execution,I alter my plans when things don't go as expected.,0,0,0
Adaptable Execution,I adjust my schedule when things are different.,0,0,0
Adaptable Execution,I revise my plans when changes happen.,0,0,0
Adaptable Execution,I update my plans when things are not the same.,0,0,0
Adaptable Execution,I change my schedule when situations change.,0,0,0
Adaptable Execution,I adapt to new situations by changing my plans.,0,0,0
Adaptable Execution,I alter my schedule when circumstances change.,0,0,0
Adaptable Execution,I make adjustments to my plans when needed.,0,0,0
Adaptable Execution,I shift my plans when things are different.,0,0,0
Adaptable Execution,I make changes to my plans when situations evolve.,0,0,0
Adaptable Execution,I adapt my schedule when there are changes.,0,0,0
Adaptable Execution,I revise my schedule when things change.,0,0,0
Adaptable Execution,I adjust my actions when plans change.,0,0,0
Adaptable Execution,I modify my schedule when things don't go as planned.,0,0,0
Adaptable Execution,I adapt my approach when things are different.,0,0,0
Adaptable Execution,I make alterations to my plans when necessary.,0,0,0
Adaptable Execution,I change my approach when circumstances shift.,0,0,0
Adaptable Execution,I update my schedule when changes occur.,0,0,0
Adaptable Execution,I shift my schedule when things change.,0,0,0
Adaptable Execution,I make adjustments to my schedule when things change.,0,0,0
Adaptable Execution,I alter my approach when situations change.,0,0,0
Adaptable Execution,I adapt my arrangements when things change.,0,0,0
Adaptable Execution,I change my arrangements when circumstances change.,0,0,0
Adaptable Execution,I modify my approach when things don't go as expected.,0,0,0
Resilience,I recover quickly from difficulties.,0,0,0
Resilience,I get back on track after problems.,0,0,0
Resilience,I regain my strength after challenges.,0,0,0
Resilience,I return to normal after setbacks.,0,0,0
Resilience,I overcome obstacles and move forward.,0,0,0
Resilience,I manage to continue after setbacks.,0,0,0
Resilience,I find my way back after failures.,0,0,0
Resilience,I rise up after facing problems.,0,0,0
Resilience,I get through tough times and carry on.,0,0,0
Resilience,I handle setbacks and keep going.,0,0,0
Resilience,I come back strong after difficulties.,0,0,0
Resilience,I persist after experiencing setbacks.,0,0,0
Resilience,I keep moving forward after challenges.,0,0,0
Resilience,I adapt and recover from setbacks.,0,0,0
Resilience,I regain my balance after falling behind.,0,0,0
Resilience,I stay positive after facing difficulties.,0,0,0
Resilience,I rebuild my strength after setbacks.,0,0,0
Resilience,I adjust and continue after obstacles.,0,0,0
Resilience,I maintain my progress after problems.,0,0,0
Resilience,I pick myself up after things go wrong.,0,0,0
Resilience,I go back to normal after setbacks.,0,0,0
Resilience,I stay resilient after facing challenges.,0,0,0
Resilience,I restore my focus after setbacks.,0,0,0
Resilience,I remain determined after difficulties.,0,0,0
Resilience,I find my strength again after setbacks.,0,0,0
Resilience,I rise above problems and continue on.,0,0,0
Resilience,I recover and keep on going after setbacks.,0,0,0
Resilience,I get back to where I was after obstacles.,0,0,0
Initiative,I take initiative on my own.,0,0,0
Initiative,I make decisions without being asked.,0,0,0
Initiative,I do things without instructions.,0,0,0
Initiative,I choose to act independently.,0,0,0
Initiative,I handle tasks without waiting for orders.,0,0,0
Initiative,I decide what to do by myself.,0,0,0
Initiative,I move forward without needing prompts.,0,0,0
Initiative,I start tasks on my own.,0,0,0
Initiative,I take action without guidance.,0,0,0
Initiative,I work without needing direction.,0,0,0
Initiative,I proceed without anyone telling me.,0,0,0
Initiative,I complete tasks without being directed.,0,0,0
Initiative,I tackle problems on my own.,0,0,0
Initiative,I make a move without being told.,0,0,0
Initiative,I act on my own accord.,0,0,0
Initiative,I manage tasks without being instructed.,0,0,0
Initiative,I begin projects without waiting for approval.,0,0,0
Initiative,I do my tasks without being told.,0,0,0
Initiative,I take steps without needing to be told.,0,0,0
Initiative,I perform actions without waiting for instructions.,0,0,0
Initiative,I go ahead without needing to be asked.,0,0,0
Initiative,I engage in tasks independently.,0,0,0
Initiative,I start working without waiting for someone to tell me.,0,0,0
Initiative,I do things on my own initiative.,0,0,0
Initiative,I take responsibility without being prompted.,0,0,0
Initiative,I decide my actions independently.,0,0,0
Initiative,I initiate actions without being directed.,0,0,0
Initiative,I proceed with tasks without waiting for orders.,0,0,0
Efficiency,I complete my work quickly.,0,0,0
Efficiency,I do my tasks faster than usual.,0,0,0
Efficiency,I manage to finish jobs swiftly.,0,0,0
Efficiency,I handle my assignments in less time.,0,0,0
Efficiency,I wrap up my duties fast.,0,0,0
Efficiency,I get my work done promptly.,0,0,0
Efficiency,I finish my projects rapidly.,0,0,0
Efficiency,I complete tasks faster than expected.,0,0,0
Efficiency,I quickly finish what I start.,0,0,0
Efficiency,I efficiently complete my assignments.,0,0,0
Efficiency,I do my jobs in a shorter time.,0,0,0
Efficiency,I complete my tasks with speed.,0,0,0
Efficiency,I accomplish my work in a brief time.,0,0,0
Efficiency,I finalize my tasks quickly.,0,0,0
Efficiency,I finish my assignments in a short period.,0,0,0
Efficiency,I do my duties in less time.,0,0,0
Efficiency,I end my work swiftly.,0,0,0
Efficiency,I complete my jobs promptly.,0,0,0
Efficiency,I work through tasks at a fast pace.,0,0,0
Efficiency,I finish my work earlier than planned.,0,0,0
Efficiency,I handle my jobs efficiently.,0,0,0
Efficiency,I complete my duties rapidly.,0,0,0
Efficiency,I achieve my tasks in a short time.,0,0,0
Efficiency,I perform my work quickly.,0,0,0
Efficiency,I finish tasks with speed.,0,0,0
Efficiency,I complete tasks in a shorter time.,0,0,0
Efficiency,I accomplish my assignments swiftly.,0,0,0
Efficiency,I end my tasks in less time.,0,0,0
Responsibility,I am responsible for the results of my work.,0,0,0
Responsibility,I take charge of the outcomes of my work.,0,0,0
Responsibility,I handle the results of my work.,0,0,0
Responsibility,I am accountable for what comes from my work.,0,0,0
Responsibility,I manage the results of my work.,0,0,0
Responsibility,I take responsibility for my work outcomes.,0,0,0
Responsibility,I am in charge of the results of my work.,0,0,0
Responsibility,I am answerable for the outcomes of my work.,0,0,0
Responsibility,I control the results of my work.,0,0,0
Responsibility,I deal with the outcomes of my work.,0,0,0
Responsibility,I am in control of my work outcomes.,0,0,0
Responsibility,I ensure the results of my work are mine.,0,0,0
Responsibility,I am responsible for what happens with my work.,0,0,0
Responsibility,I oversee the results of my work.,0,0,0
Responsibility,I accept the outcomes of my work.,0,0,0
Responsibility,I look after the results of my work.,0,0,0
Responsibility,I direct the outcomes of my work.,0,0,0
Responsibility,I am in charge of what my work produces.,0,0,0
Responsibility,I manage what results from my work.,0,0,0
Responsibility,I am the owner of my work outcomes.,0,0,0
Responsibility,I see the results of my work as my responsibility.,0,0,0
Responsibility,I am answerable for the results of my work.,0,0,0
Responsibility,I own the results that come from my work.,0,0,0
Responsibility,I am responsible for the effects of my work.,0,0,0
Responsibility,I control the outcomes that come from my work.,0,0,0
Responsibility,I am accountable for the results of my work.,0,0,0
Responsibility,I take ownership of what results from my work.,0,0,0
Responsibility,I am the one who deals with my work outcomes.,0,0,0
Ethics,I live in a way that matches my beliefs.,0,0,0
Ethics,I make decisions based on my principles.,0,0,0
Ethics,I follow my personal values in my actions.,0,0,0
Ethics,I behave in a way that reflects my values.,0,0,0
Ethics,I choose actions that align with what I believe.,0,0,0
Ethics,I stay true to my values in how I act.,0,0,0
Ethics,I act in line with my principles.,0,0,0
Ethics,I make choices that fit my values.,0,0,0
