,facet,anchor,stem,cosine_similarity,drift_flag,length_flag
199,I turn ideas into real projects.,Innovation,I lead by example with my innovative spirit.,0.5085629,1,0
200,I notice small design details.,Aesthetic Sensitivity,I notice the beauty in my surroundings.,0.29757836,1,0
201,I notice small design details.,Aesthetic Sensitivity,I appreciate the artistic details in things.,0.40260395,1,0
202,I notice small design details.,Aesthetic Sensitivity,I find beauty in everyday objects.,0.39255798,1,0
203,I notice small design details.,Aesthetic Sensitivity,I enjoy seeing artistic elements around me.,0.36675623,1,0
204,I notice small design details.,Aesthetic Sensitivity,I am aware of the aesthetic aspects of my environment.,0.46861905,1,0
205,I notice small design details.,Aesthetic Sensitivity,I see the artistry in simple things.,0.32450175,1,0
206,I notice small design details.,Aesthetic Sensitivity,I appreciate the design in what I see.,0.3479029,1,0
207,I notice small design details.,Aesthetic Sensitivity,I admire the beauty in nature and art.,0.31412023,1,0
208,I notice small design details.,Aesthetic Sensitivity,I enjoy the visual appeal of my surroundings.,0.36263758,1,0
209,I notice small design details.,Aesthetic Sensitivity,I focus on the beauty in different places.,0.421971,1,0
210,I notice small design details.,Aesthetic Sensitivity,I notice the artistic value in objects.,0.44380945,1,0
211,I notice small design details.,Aesthetic Sensitivity,I am drawn to visually pleasing things.,0.41225183,1,0
212,I notice small design details.,Aesthetic Sensitivity,I appreciate the style in my environment.,0.37724695,1,0
213,I notice small design details.,Aesthetic Sensitivity,I see beauty in ordinary things.,0.4131553,1,0
214,I notice small design details.,Aesthetic Sensitivity,I enjoy the aesthetics of my surroundings.,0.39237002,1,0
215,I notice small design details.,Aesthetic Sensitivity,I find pleasure in beautiful designs.,0.35560054,1,0
216,I notice small design details.,Aesthetic Sensitivity,I am sensitive to artistic expressions.,0.6347458,1,0
217,I notice small design details.,Aesthetic Sensitivity,I see beauty beyond the surface of things.,0.36315957,1,0
218,I notice small design details.,Aesthetic Sensitivity,I appreciate the visual harmony around me.,0.3129773,1,0
219,I notice small design details.,Aesthetic Sensitivity,I notice the elegance in different settings.,0.46199158,1,0
220,I notice small design details.,Aesthetic Sensitivity,I enjoy observing beautiful forms.,0.28541386,1,0
221,I notice small design details.,Aesthetic Sensitivity,I find beauty in the details.,0.359944,1,0
222,I notice small design details.,Aesthetic Sensitivity,I appreciate the charm in my environment.,0.20337853,1,0
223,I notice small design details.,Aesthetic Sensitivity,I see the aesthetic qualities in things around me.,0.5120321,1,0
224,I notice small design details.,Aesthetic Sensitivity,I enjoy the artistic side of life.,0.2672258,1,0
225,I adapt when plans change.,Improvisation,I create things spontaneously.,0.4820649,1,0
226,I adapt when plans change.,Improvisation,I make things up as I go.,0.2849,1,0
227,I adapt when plans change.,Improvisation,I act without a script.,0.3430786,1,0
228,I adapt when plans change.,Improvisation,I invent on the spot.,0.3972819,1,0
229,I adapt when plans change.,Improvisation,I come up with ideas quickly.,0.31264895,1,0
230,I adapt when plans change.,Improvisation,I adapt to new situations easily.,0.2760313,1,0
231,I adapt when plans change.,Improvisation,I think creatively in the moment.,0.5268525,1,0
232,I adapt when plans change.,Improvisation,I respond in real-time.,0.15134278,1,0
233,I adapt when plans change.,Improvisation,I play roles without preparation.,0.28047627,1,0
234,I adapt when plans change.,Improvisation,I use my imagination instantly.,0.41920274,1,0
235,I adapt when plans change.,Improvisation,I generate ideas on the fly.,0.49228463,1,0
236,I adapt when plans change.,Improvisation,I work without a plan.,0.18306401,1,0
237,I adapt when plans change.,Improvisation,I make quick decisions.,0.28186083,1,0
238,I adapt when plans change.,Improvisation,I react to changes flexibly.,0.34769082,1,0
239,I adapt when plans change.,Improvisation,I solve problems immediately.,0.2352782,1,0
240,I adapt when plans change.,Improvisation,I speak without pre-planning.,0.2716245,1,0
241,I adapt when plans change.,Improvisation,I perform spontaneously.,0.48812795,1,0
242,I adapt when plans change.,Improvisation,I handle unexpected events smoothly.,0.20489438,1,0
243,I adapt when plans change.,Improvisation,I engage in unplanned activities.,0.38221017,1,0
244,I adapt when plans change.,Improvisation,I develop stories as I go.,0.31551784,1,0
245,I adapt when plans change.,Improvisation,I adjust my actions quickly.,0.2673004,1,0
246,I adapt when plans change.,Improvisation,I create without prior thinking.,0.48487368,1,0
247,I adapt when plans change.,Improvisation,I manage surprises effectively.,0.2338413,1,0
248,I adapt when plans change.,Improvisation,I think on my feet.,0.30015022,1,0
249,I adapt when plans change.,Improvisation,I perform without rehearsal.,0.46320713,1,0
250,I test ideas to see what works.,Experimentation,I try new things to see what happens,0.5592783,1,0
251,I test ideas to see what works.,Experimentation,I test different ideas to learn more,0.59308195,1,0
252,I test ideas to see what works.,Experimentation,I conduct trials to understand better,0.53138113,1,0
253,I test ideas to see what works.,Experimentation,I explore new methods to gain insight,0.48196682,1,0
254,I test ideas to see what works.,Experimentation,I experiment with different approaches to find solutions,0.48440248,1,0
255,I test ideas to see what works.,Experimentation,I try out various techniques to discover their effects,0.5515643,1,0
256,I test ideas to see what works.,Experimentation,I play around with ideas to see what works,0.39249873,1,0
257,I test ideas to see what works.,Experimentation,I use trial and error to gain knowledge,0.43503714,1,0
258,I test ideas to see what works.,Experimentation,I investigate new possibilities to expand my understanding,0.47636884,1,0
259,I test ideas to see what works.,Experimentation,I practice different strategies to see which is best,0.31087458,1,0
260,I test ideas to see what works.,Experimentation,I explore options to find new outcomes,0.45211613,1,0
261,I test ideas to see what works.,Experimentation,I test things to learn from the results,0.6102584,1,0
262,I test ideas to see what works.,Experimentation,I try different ways to improve my skills,0.3370762,1,0
263,I test ideas to see what works.,Experimentation,I experiment with new recipes to see how they taste,0.5492115,1,0
264,I test ideas to see what works.,Experimentation,I attempt various solutions to solve problems,0.2901029,1,0
265,I test ideas to see what works.,Experimentation,I try new activities to see my reactions,0.50863343,1,0
266,I test ideas to see what works.,Experimentation,I test various ideas to see which is effective,0.57829624,1,0
267,I test ideas to see what works.,Experimentation,I try different materials to create something new,0.37009358,1,0
268,I test ideas to see what works.,Experimentation,I experiment with colors to understand their combinations,0.43227646,1,0
269,I test ideas to see what works.,Experimentation,I explore new paths to see where they lead,0.33724982,1,0
270,I test ideas to see what works.,Experimentation,I try out new hobbies to learn what I enjoy,0.3568928,1,0
271,I test ideas to see what works.,Experimentation,I test my abilities to see my limits,0.5433011,1,0
272,I test ideas to see what works.,Experimentation,I explore different perspectives to broaden my view,0.3362326,1,0
273,I test ideas to see what works.,Experimentation,I try new exercises to see how they affect me,0.39201194,1,0
274,I test ideas to see what works.,Experimentation,I experiment with sounds to create music,0.46562225,1,0
275,I combine ideas into new concepts.,Synthesising,I combine different ideas into one.,0.40010667,1,0
276,I combine ideas into new concepts.,Synthesising,I put pieces of information together.,0.30198258,1,0
277,I combine ideas into new concepts.,Synthesising,I create something new from various elements.,0.5089733,1,0
278,I combine ideas into new concepts.,Synthesising,I bring different concepts into a single whole.,0.2968931,1,0
279,I combine ideas into new concepts.,Synthesising,I integrate various sources into a cohesive idea.,0.3527866,1,0
280,I combine ideas into new concepts.,Synthesising,I merge separate ideas into one understanding.,0.3521635,1,0
281,I combine ideas into new concepts.,Synthesising,I unite different pieces into a single concept.,0.39043337,1,0
282,I combine ideas into new concepts.,Synthesising,I compile information to form a complete picture.,0.45181897,1,0
283,I combine ideas into new concepts.,Synthesising,I blend different thoughts into a unified idea.,0.32413822,1,0
284,I combine ideas into new concepts.,Synthesising,I assemble parts to create a new whole.,0.41225642,1,0
285,I combine ideas into new concepts.,Synthesising,I join different perspectives to make a new idea.,0.30227357,1,0
286,I combine ideas into new concepts.,Synthesising,I consolidate various details into a single view.,0.21218318,1,0
287,I combine ideas into new concepts.,Synthesising,I fuse different ideas into a coherent whole.,0.3464508,1,0
288,I combine ideas into new concepts.,Synthesising,I gather information to form a complete idea.,0.3320233,1,0
289,I combine ideas into new concepts.,Synthesising,I weave together different concepts into one.,0.35600385,1,0
290,I combine ideas into new concepts.,Synthesising,I harmonize various elements into a unified concept.,0.43217105,1,0
291,I combine ideas into new concepts.,Synthesising,I construct a whole from different parts.,0.44334596,1,0
292,I combine ideas into new concepts.,Synthesising,I incorporate diverse ideas into a single understanding.,0.2594363,1,0
293,I combine ideas into new concepts.,Synthesising,I connect different bits of information into one.,0.31406924,1,0
294,I combine ideas into new concepts.,Synthesising,I form a new idea by combining elements.,0.4562288,1,0
295,I combine ideas into new concepts.,Synthesising,I synthesize different pieces into a complete thought.,0.47097164,1,0
296,I combine ideas into new concepts.,Synthesising,I link various ideas to create something new.,0.38004202,1,0
297,I combine ideas into new concepts.,Synthesising,I formulate a new concept from existing information.,0.35071677,1,0
298,I combine ideas into new concepts.,Synthesising,I integrate different viewpoints into a single idea.,0.3050309,1,0
299,I combine ideas into new concepts.,Synthesising,I develop a comprehensive idea from multiple sources.,0.3331269,1,0
300,I aim for challenging goals.,Achievement Focus,I strive to reach my goals.,0.4749971,1,0
301,I aim for challenging goals.,Achievement Focus,I set specific targets for myself.,0.45404345,1,0
302,I aim for challenging goals.,Achievement Focus,I am committed to achieving my objectives.,0.41506344,1,0
303,I aim for challenging goals.,Achievement Focus,I work hard to accomplish my aims.,0.43476856,1,0
304,I aim for challenging goals.,Achievement Focus,I am focused on my achievements.,0.70361894,1,0
305,I aim for challenging goals.,Achievement Focus,I keep my eyes on success.,0.44088304,1,0
306,I aim for challenging goals.,Achievement Focus,I aim to complete my tasks effectively.,0.42914182,1,0
307,I aim for challenging goals.,Achievement Focus,I am driven to succeed.,0.42648336,1,0
308,I aim for challenging goals.,Achievement Focus,I prioritize reaching my goals.,0.5369034,1,0
309,I aim for challenging goals.,Achievement Focus,I dedicate myself to my ambitions.,0.45313668,1,0
310,I aim for challenging goals.,Achievement Focus,I put effort into achieving my targets.,0.52703774,1,0
311,I aim for challenging goals.,Achievement Focus,I am goal-oriented in my actions.,0.48572797,1,0
312,I aim for challenging goals.,Achievement Focus,I concentrate on reaching my objectives.,0.5493394,1,0
313,I aim for challenging goals.,Achievement Focus,I am determined to meet my goals.,0.40184778,1,0
314,I aim for challenging goals.,Achievement Focus,I focus on fulfilling my aspirations.,0.51572,1,0
315,I aim for challenging goals.,Achievement Focus,I apply myself to accomplish my goals.,0.44588953,1,0
316,I aim for challenging goals.,Achievement Focus,I persist to achieve my aims.,0.44384038,1,0
317,I aim for challenging goals.,Achievement Focus,I am motivated to succeed in my tasks.,0.44526672,1,0
318,I aim for challenging goals.,Achievement Focus,I pursue my objectives with dedication.,0.5191027,1,0
319,I aim for challenging goals.,Achievement Focus,I am keen to achieve my targets.,0.4716705,1,0
320,I aim for challenging goals.,Achievement Focus,I work towards fulfilling my goals.,0.44483346,1,0
321,I aim for challenging goals.,Achievement Focus,I am focused on my accomplishments.,0.6553577,1,0
322,I aim for challenging goals.,Achievement Focus,I aim to succeed in my efforts.,0.44452584,1,0
